DATE,GFDEGDQ188S,USALORSGPTDSTSAM
2002-10-01,57.91028,79.4262789249654333
2003-01-01,57.81906,79.9734447310448000
2003-04-01,58.96101,80.5260892220991667
2003-07-01,58.64541,81.0832456638062000
2003-10-01,59.44466,81.6430702713731000
2004-01-01,59.8071,82.2031439288511333
2004-04-01,60.05487,82.7606742033684000
2004-07-01,59.96643,83.3125229486979667
2004-10-01,60.63713,83.8552482641391000
2005-01-01,60.91302,84.3852302277781000
2005-04-01,60.64153,84.8988597665054667
2005-07-01,60.35856,85.3927106735308667
2005-10-01,61.32008,85.8635997145090667
2006-01-01,61.55642,86.3086543273986667
2006-04-01,61.22142,86.7254522634464000
2006-07-01,61.3328,87.1122493854336667
2006-10-01,61.82689,87.4679972946415333
2007-01-01,62.25297,87.7923036716503333
2007-04-01,61.57219,88.0855272105315667
2007-07-01,61.84826,88.3488540089072333
2007-10-01,62.71924,88.5844250010350000
2008-01-01,64.17278,88.7955033954518333
2008-04-01,63.85172,88.9865412423363333
2008-07-01,67.28455,89.1630744413224333
2008-10-01,73.24516,89.3316524533641000
2009-01-01,77.10496,89.4993718301373667
2009-04-01,80.28013,89.6729217992730333
2009-07-01,82.42733,89.8578441026387667
2009-10-01,84.02935,90.0582651360087667
2010-01-01,86.51175,90.2769851187605667
2010-04-01,88.12832,90.5157691767847000
2010-07-01,89.56529,90.7756053656204333
2010-10-01,91.61136,91.0570010873808000
2011-01-01,92.95617,91.3602314197709000
2011-04-01,92.19383,91.6853926438108333
2011-07-01,94.52097,92.0322916131679000
2011-10-01,96.09067,92.4004188365085000
2012-01-01,97.12296,92.7889425929290000
2012-04-01,97.82754,93.1969185832948333
2012-07-01,98.44787,93.6234947185227667
2012-10-01,100.07517,94.0679322389498667
2013-01-01,100.85592,94.5294792948265333
2013-04-01,100.23216,95.0072658114832000
2013-07-01,98.97766,95.5003228207204667
2013-10-01,100.13427,96.0075457554228667
2014-01-01,102.6653,96.5277483206373000
2014-04-01,100.97295,97.0596369405287333
2014-07-01,100.45563,97.6016453564217000
2014-10-01,101.61828,98.1521224426339667
2015-01-01,100.89325,98.7096009207450667
2015-04-01,99.77075,99.2728817515067000
2015-07-01,99.146,99.8411094772254000
2015-10-01,103.21895,100.4137812966820000
2016-01-01,104.55696,100.9906200592143333
2016-04-01,104.13706,101.5714056318933333
2016-07-01,104.25015,102.1558844744000000
2016-10-01,105.31835,102.7436797415826667
2017-01-01,103.64643,103.3342471629586667
2017-04-01,102.79752,103.9268249950143333
2017-07-01,103.4915,104.5203594894300000
2017-10-01,103.0058,105.1134909390080000
2018-01-01,104.63475,105.7046859450200000
2018-04-01,103.54111,106.2924403258036667
2018-07-01,104.00623,106.8754116457970000
2018-10-01,105.54691,107.4525185160640000
2019-01-01,104.82935,108.0229792735186667
2019-04-01,103.52961,108.5862224240780000
2019-07-01,105.51538,109.1418704033613333
2019-10-01,106.88663,109.6898537950626667
2020-01-01,107.827,110.2305695586333333
2020-04-01,134.83528,110.7649474739540000
2020-07-01,126.1345,111.2944744213010000
2020-10-01,127.84231,111.8210158866266667
2021-01-01,126.07672,112.3463931129306667
2021-04-01,123.78842,112.8718967323206667
2021-07-01,120.71513,113.3980813679366667
2021-10-01,121.63566,113.9250790657313333
2022-01-01,122.87943,114.4530080630830000
2022-04-01,121.071,114.9823298294556667
2022-07-01,120.35083,.
